bean_id,acidity,body,sweetness,bitterness,aroma,flavor,aftertaste,total_score,roast_level,flavor_tags,data_source,confidence_score
976.0,9,9,7,3,9,9,8,94,LIGHT,"[10402, 80103, 20105, 90201, 70202]",EXTERNAL_CSV,0.9
977.0,9,9,6,2,9,9,9,95,LIGHT,"[60303, 20201, 10201, 70103]",EXTERNAL_CSV,0.9
978.0,9,9,7,2,9,9,8,94,LIGHT,"[801, 20105, 201, 90203, 702]",EXTERNAL_CSV,0.9
979.0,8,8,8,2,9,9,8,92,LIGHT,"[10306, 802, 80103, 40104, 60303]",EXTERNAL_CSV,0.9
980.0,8,9,7,2,9,9,7,92,LIGHT,"[10401, 801, 40104, 402, 70102]",EXTERNAL_CSV,0.9
981.0,9,8,6,3,9,9,8,93,LIGHT,"[10305, 10403, 70102, 70201]",EXTERNAL_CSV,0.9
982.0,9,8,7,2,9,9,8,93,LIGHT,"[90201, 10401, 10201, 80103]",EXTERNAL_CSV,0.9
983.0,8,8,6,3,9,9,8,92,LIGHT,"[70103, 10403, 30103, 70201, 10202]",EXTERNAL_CSV,0.9
984.0,9,9,6,2,9,9,9,95,LIGHT,"[10307, 902, 20103, 401, 10302]",EXTERNAL_CSV,0.9
985.0,9,9,8,2,9,10,9,96,LIGHT,"[80103, 80104, 20105, 70103, 90203]",EXTERNAL_CSV,0.9
986.0,8,8,7,2,8,8,7,89,LIGHT,"[10201, 20105, 70101, 80103]",EXTERNAL_CSV,0.9
987.0,9,9,6,3,8,9,8,93,LIGHT,"[10401, 40104, 70201, 90201, 10301]",EXTERNAL_CSV,0.9
988.0,8,8,6,3,9,9,8,92,LIGHT,"[70201, 20105, 10103]",EXTERNAL_CSV,0.9
989.0,8,9,6,3,9,9,9,94,LIGHT,"[10402, 10403, 10101, 10104, 70201]",EXTERNAL_CSV,0.9
990.0,9,9,7,3,9,9,8,94,LIGHT,"[80103, 20105, 70102, 70201, 10301]",EXTERNAL_CSV,0.9
991.0,9,9,6,3,9,9,8,94,LIGHT,"[90202, 20101, 40107, 70103, 70202]",EXTERNAL_CSV,0.9
992.0,8,9,6,4,9,9,8,93,LIGHT,"[70201, 10201, 501, 70103]",EXTERNAL_CSV,0.9
993.0,9,9,7,2,9,9,8,94,LIGHT,"[10402, 80103, 20105, 90201, 10303]",EXTERNAL_CSV,0.9
994.0,9,9,8,3,9,9,9,95,LIGHT,"[80103, 80104, 20105, 20201, 60302, 70202]",EXTERNAL_CSV,0.9
995.0,8,8,6,2,8,9,7,90,LIGHT,"[10402, 20101, 20105, 70103, 90201]",EXTERNAL_CSV,0.9
996.0,9,9,7,2,9,9,9,95,LIGHT,"[10401, 80101, 70103]",EXTERNAL_CSV,0.9
997.0,8,8,8,2,9,9,8,92,LIGHT,"[802, 10403, 80104, 20203, 10303]",EXTERNAL_CSV,0.9
998.0,8,8,7,3,9,9,8,92,LIGHT,"[101, 80104, 20203, 70201, 10202]",EXTERNAL_CSV,0.9
999.0,9,9,6,3,9,9,8,94,LIGHT,"[10402, 10403, 20105, 70103, 70201]",EXTERNAL_CSV,0.9
1000.0,9,9,6,3,9,9,8,94,LIGHT,"[20105, 70202, 10101, 10303]",EXTERNAL_CSV,0.9
